vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,make_name,make_type,region,country,population,density,year_stolen,month_stolen,weekday_stolen
80,Trailer,623.0,2015.0,ELITE 8X5,Silver,2022-01-14,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2022,1,Friday
81,Trailer,623.0,2015.0,COMPASS D105,Silver,2021-10-18,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,10,Monday
82,Trailer,623.0,2015.0,DOMESTIC TRAILER,Silver,2022-03-16,103,Trailer,Standard,Waikato,New Zealand,"513,800",21.5,2022,3,Wednesday
83,Trailer - Heavy,623.0,1998.0,TANK,White,2022-01-18,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2022,1,Tuesday
84,Stationwagon,507.0,2015.0,ALLROAD,Silver,2022-04-03,109,Audi,Standard,Wellington,New Zealand,"543,500",67.52,2022,4,Sunday
85,Trailer,623.0,2015.0,ELITE 8X4,Silver,2022-01-04,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2022,1,Tuesday
86,Roadbike,629.0,2001.0,PIAGGIO,Silver,2021-12-06,102,Vespa,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,12,Monday
87,Trailer,623.0,2015.0,HELMACK 8X5,Silver,2022-01-19,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2022,1,Wednesday
88,Trailer,623.0,1984.0,LOCAL,Yellow,2022-03-21,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,3,Monday
89,Trailer,623.0,2015.0,SINGLE AXLE,Silver,2022-03-01,103,Trailer,Standard,Waikato,New Zealand,"513,800",21.5,2022,3,Tuesday
90,Boat Trailer,623.0,2008.0,BOAT,Silver,2022-02-22,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2022,2,Tuesday
91,Trailer,623.0,1990.0,HOMEBUILT,Blue,2022-01-20,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2022,1,Thursday
92,Trailer,623.0,2000.0,PRESCOTT,Silver,2022-03-08,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2022,3,Tuesday
93,Trailer,549.0,1996.0,TRAILER,Silver,2022-03-24,102,Homebuilt,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,3,Thursday
94,Trailer,623.0,2018.0,COMPASS-C85,Silver,2022-03-18,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,3,Friday
95,Trailer,616.0,2018.0,DOMESTIC TRAILER,Silver,2021-12-28,102,Titan,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,12,Tuesday
96,Trailer,527.0,1985.0,TANDEM,Silver,2022-01-13,102,Custombuilt,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,1,Thursday
97,Roadbike,550.0,2005.0,VT,Red,2022-03-19,102,Honda,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,3,Saturday
98,Roadbike,550.0,2000.0,CBR,Blue,2022-01-31,114,Honda,Standard,Canterbury,New Zealand,"655,000",14.72,2022,1,Monday
99,Trailer,623.0,2022.0,HOMEBUILT,Black,2022-02-14,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,2,Monday
100,Boat Trailer,623.0,2021.0,JETSKI ACTION LAB,Grey,2021-12-30,103,Trailer,Standard,Waikato,New Zealand,"513,800",21.5,2021,12,Thursday
101,Trailer,623.0,2000.0,HOMEBUILT,Silver,2022-01-29,106,Trailer,Standard,Hawke's Bay,New Zealand,"182,700",12.92,2022,1,Saturday
102,Trailer,549.0,2022.0,TRAILER,Black,2022-03-12,104,Homebuilt,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2022,3,Saturday
103,Trailer,623.0,1998.0,MARTIN ENGINEERING,White,2022-03-28,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,3,Monday
104,Trailer,623.0,2018.0,TUFF,Silver,2021-11-22,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2021,11,Monday
105,Trailer,623.0,1977.0,LOCAL,Brown,2021-12-03,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2021,12,Friday
106,Trailer - Heavy,623.0,2018.0,8X4 TRAYLA,Silver,2022-02-01,106,Trailer,Standard,Hawke's Bay,New Zealand,"182,700",12.92,2022,2,Tuesday
107,Trailer,623.0,1980.0,HOMEMADE,Blue,2022-03-20,111,Trailer,Standard,Nelson,New Zealand,"54,500",129.15,2022,3,Sunday
108,Trailer - Heavy,623.0,2018.0,NYMIC,White,2022-04-03,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2022,4,Sunday
109,Trailer,623.0,2022.0,TRAILER,Silver,2022-02-09,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,2,Wednesday
110,Trailer,623.0,2019.0,TANDEM,Grey,2022-02-23,109,Trailer,Standard,Wellington,New Zealand,"543,500",67.52,2022,2,Wednesday
111,Trailer,623.0,2022.0,COMPASS-D116K,Silver,2022-03-15,106,Trailer,Standard,Hawke's Bay,New Zealand,"182,700",12.92,2022,3,Tuesday
112,Roadbike,545.0,2004.0,FXSTDI,Red,2022-01-16,102,Harley Davidson,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,1,Sunday
113,Trailer,623.0,1967.0,LOCAL,Grey,2021-10-19,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2021,10,Tuesday
114,Caravan,519.0,2006.0,SWIFT CHARISMA 230,White,2022-02-27,102,Caravan,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,2,Sunday
115,Trailer,623.0,2018.0,TANK,Silver,2022-03-29,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2022,3,Tuesday
116,Tractor,575.0,2007.0,FERGUSSON,Red,2022-01-23,103,Massey,Standard,Waikato,New Zealand,"513,800",21.5,2022,1,Sunday
117,Trailer,623.0,2022.0,BST85,Silver,2022-03-15,109,Trailer,Standard,Wellington,New Zealand,"543,500",67.52,2022,3,Tuesday
118,Roadbike,611.0,2003.0,LS650P,Black,2021-12-03,101,Suzuki,Standard,Northland,New Zealand,"201,500",16.11,2021,12,Friday
119,Boat Trailer,626.0,2022.0,JET SKI,Black,2022-03-19,102,Trojan,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,3,Saturday
120,Trailer,623.0,2022.0,VULCAN,Silver,2022-03-04,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,3,Friday
121,Boat Trailer,549.0,1989.0,EZ LOADER STABI CRAF,Grey,2021-10-12,114,Homebuilt,Standard,Canterbury,New Zealand,"655,000",14.72,2021,10,Tuesday
122,Boat Trailer,623.0,2017.0,MCLAY,Silver,2022-03-19,105,Trailer,Standard,Gisborne,New Zealand,"52,100",6.21,2022,3,Saturday
123,Trailer,623.0,2019.0,ENSOL TANKER,Silver,2022-02-28,108,Trailer,Standard,Manawatū-Whanganui,New Zealand,"258,200",11.62,2022,2,Monday
124,Roadbike,561.0,2008.0,EX,Red,2022-04-02,102,Kawasaki,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,4,Saturday
125,Moped,585.0,2008.0,HYOSUNG SB49M,Red,2022-01-29,102,Moped,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,1,Saturday
126,Trailer,623.0,1996.0,BRIFORD,Grey,2022-03-13,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2022,3,Sunday
127,Boat Trailer,623.0,2000.0,REID,Silver,2022-02-03,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,2,Thursday
128,Boat Trailer,549.0,1994.0,15X7,White,2022-01-01,114,Homebuilt,Standard,Canterbury,New Zealand,"655,000",14.72,2022,1,Saturday
129,Trailer,623.0,1998.0,KEA,Grey,2021-11-16,111,Trailer,Standard,Nelson,New Zealand,"54,500",129.15,2021,11,Tuesday
130,Trailer,623.0,2019.0,ROADCHIEF,Grey,2022-01-20,101,Trailer,Standard,Northland,New Zealand,"201,500",16.11,2022,1,Thursday
131,Roadbike,565.0,2002.0,EXC,Orange,2022-02-13,101,KTM,Standard,Northland,New Zealand,"201,500",16.11,2022,2,Sunday
132,Trailer,623.0,2019.0,JOBMATE,Silver,2022-03-13,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2022,3,Sunday
133,Trailer,623.0,2022.0,ENSOL TANKER,Silver,2022-04-01,108,Trailer,Standard,Manawatū-Whanganui,New Zealand,"258,200",11.62,2022,4,Friday
134,Trailer,623.0,2019.0,BRAKED TANDEM,Silver,2021-12-17,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2021,12,Friday
135,Trailer,623.0,1980.0,HARENG,Grey,2021-12-31,103,Trailer,Standard,Waikato,New Zealand,"513,800",21.5,2021,12,Friday
136,Trailer,623.0,2019.0,HOMEBUILT,Silver,2022-03-13,115,Trailer,Standard,Otago,New Zealand,"246,000",7.89,2022,3,Sunday
137,Trailer,616.0,2019.0,DOMESTIC TRAILER,Silver,2021-10-29,102,Titan,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,10,Friday
138,Trailer,623.0,1962.0,HOMEMADE,Green,2022-02-16,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2022,2,Wednesday
139,Trailer,623.0,1997.0,SPACEE 2000,White,2021-11-16,107,Trailer,Standard,Taranaki,New Zealand,"127,300",17.55,2021,11,Tuesday
140,Trailer,514.0,2018.0,8X4 TANDEM TIPPER,Silver,2022-03-18,114,Briford,Standard,Canterbury,New Zealand,"655,000",14.72,2022,3,Friday
141,Trailer,538.0,2019.0,BRENT SMITH TRAILERS,Silver,2021-12-30,109,Factory Built,Standard,Wellington,New Zealand,"543,500",67.52,2021,12,Thursday
142,Trailer,623.0,2019.0,TASMAN8X5TB,Silver,2021-10-10,111,Trailer,Standard,Nelson,New Zealand,"54,500",129.15,2021,10,Sunday
143,Boat Trailer,623.0,2019.0,MAKZ,Silver,2021-12-14,109,Trailer,Standard,Wellington,New Zealand,"543,500",67.52,2021,12,Tuesday
144,Trailer,595.0,2019.0,ENCLOSED TRAILER,Silver,2021-10-19,102,Pinto,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,10,Tuesday
145,Trailer,623.0,2019.0,ELITE 8X4,Silver,2022-02-28,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2022,2,Monday
146,Trailer - Heavy,623.0,2019.0,TRANSPORTER,Silver,2021-12-27,105,Trailer,Standard,Gisborne,New Zealand,"52,100",6.21,2021,12,Monday
147,Trailer,623.0,2019.0,DOMESTIC,Grey,2022-03-09,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,3,Wednesday
148,Trailer,538.0,2015.0,DOMESTIC TRAILER,Silver,2022-03-21,101,Factory Built,Standard,Northland,New Zealand,"201,500",16.11,2022,3,Monday
149,Trailer - Heavy,514.0,2015.0,TRAILER 8X4,Silver,2021-12-08,102,Briford,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,12,Wednesday
150,Caravan,519.0,2008.0,XPLORE 452,White,2021-12-26,104,Caravan,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2021,12,Sunday
151,Trailer,595.0,2015.0,BRAKED TANDEM,Silver,2022-02-18,103,Pinto,Standard,Waikato,New Zealand,"513,800",21.5,2022,2,Friday
152,Trailer,623.0,2015.0,HOBBS,Silver,2021-11-12,105,Trailer,Standard,Gisborne,New Zealand,"52,100",6.21,2021,11,Friday
153,Trailer,623.0,2015.0,WILPRO,Silver,2021-11-22,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2021,11,Monday
154,Trailer - Heavy,514.0,2015.0,TRAILER,Silver,2022-01-24,102,Briford,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,1,Monday
155,Trailer - Heavy,514.0,2015.0,TRAILER,Silver,2022-03-08,102,Briford,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,3,Tuesday
156,Trailer - Heavy,514.0,2015.0,OTHER COMMERCIAL TRA,Silver,2022-01-06,114,Briford,Standard,Canterbury,New Zealand,"655,000",14.72,2022,1,Thursday
157,Trailer,623.0,2015.0,SINGLE AXLE 7X4,Silver,2022-02-19,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2022,2,Saturday
158,Caravan,606.0,2007.0,ALPINE  4T2A,White,2022-01-29,109,Sprite,Standard,Wellington,New Zealand,"543,500",67.52,2022,1,Saturday
159,Trailer,623.0,2015.0,FACTORY BUILT,Silver,2022-01-10,106,Trailer,Standard,Hawke's Bay,New Zealand,"182,700",12.92,2022,1,Monday
160,Saloon,587.0,1989.0,SKYLINE,Blue,2022-02-03,109,Nissan,Standard,Wellington,New Zealand,"543,500",67.52,2022,2,Thursday
161,Boat Trailer,623.0,2015.0,YAMAHA VXR,Silver,2021-11-10,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2021,11,Wednesday
162,Trailer - Heavy,514.0,2015.0,TRAILER,Silver,2021-10-12,109,Briford,Standard,Wellington,New Zealand,"543,500",67.52,2021,10,Tuesday
163,Trailer,623.0,2015.0,ROADLINE,Silver,2021-10-30,101,Trailer,Standard,Northland,New Zealand,"201,500",16.11,2021,10,Saturday
164,Trailer,623.0,2015.0,TRAYLA,Silver,2022-01-13,109,Trailer,Standard,Wellington,New Zealand,"543,500",67.52,2022,1,Thursday
165,Trailer - Heavy,514.0,2015.0,TRAILER,Silver,2021-12-31,103,Briford,Standard,Waikato,New Zealand,"513,800",21.5,2021,12,Friday
166,Trailer - Heavy,514.0,2015.0,TRAILER,Silver,2021-12-08,102,Briford,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,12,Wednesday
167,Caravan,525.0,1972.0,HALF VISTA,Red,2022-03-16,104,Classic,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2022,3,Wednesday
168,Trailer - Heavy,623.0,2015.0,CANTERBURY FABRICAT,White,2022-03-08,107,Trailer,Standard,Taranaki,New Zealand,"127,300",17.55,2022,3,Tuesday
169,Trailer,623.0,2015.0,4.5M FLATDECK,Silver,2022-01-28,103,Trailer,Standard,Waikato,New Zealand,"513,800",21.5,2022,1,Friday
170,Trail Bike,565.0,2020.0,SFX,Orange,2021-11-08,114,KTM,Standard,Canterbury,New Zealand,"655,000",14.72,2021,11,Monday
171,Trailer,623.0,2016.0,ELITE 8X4,Silver,2022-03-30,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2022,3,Wednesday
172,Trailer,623.0,2019.0,ROADCHIEF 8X5,Silver,2022-03-24,115,Trailer,Standard,Otago,New Zealand,"246,000",7.89,2022,3,Thursday
173,Trailer,623.0,1998.0,LOCAL,Silver,2021-12-25,107,Trailer,Standard,Taranaki,New Zealand,"127,300",17.55,2021,12,Saturday
174,Boat Trailer,623.0,2012.0,BOAT,Silver,2021-12-22,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,12,Wednesday
175,Trailer - Heavy,623.0,2019.0,MM INDUSTRIES,Silver,2021-10-11,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,10,Monday
